pwsid,total_violations_12m,total_violations_36m,total_violations_60m,health_based_violations_36m,monitoring_reporting_violations_36m,repeat_violation_count_60m,max_violation_severity,days_since_last_violation,returned_to_compliance_flag,open_violation_flag,violation_trend_direction,compliance_risk_component
OH8701611,0,0,1,0,0,0,25.0,1698.0,True,False,decreasing,6.25
OH8701712,1,4,4,0,1,2,35.0,199.0,True,True,increasing,59.75
OH8701803,1,1,1,0,1,0,35.0,354.0,False,True,increasing,36.75
OH8701912,0,1,4,0,1,2,55.0,1024.0,True,False,decreasing,29.75
OH8702012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8702112,0,0,0,0,0,0,0.0,15238.0,False,False,stable_or_none,0.0
OH8702212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8702312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8702412,0,0,1,0,0,0,25.0,1402.0,False,True,decreasing,26.25
OH8702503,1,2,2,0,0,0,25.0,355.0,False,True,increasing,36.25
OH8702612,0,0,0,0,0,0,0.0,11678.0,False,False,stable_or_none,0.0
OH8702712,2,6,8,1,3,5,100.0,324.0,True,True,increasing,100.0
OH8702803,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8702903,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8703012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8703112,0,3,3,0,1,2,35.0,538.0,True,True,increasing,54.75
OH8703211,0,0,0,0,0,0,0.0,6016.0,False,False,stable_or_none,0.0
OH8703312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8703403,0,0,0,0,0,0,0.0,8391.0,False,False,stable_or_none,0.0
OH8703412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8703512,0,0,0,0,0,0,0.0,15238.0,False,False,stable_or_none,0.0
OH8703612,0,0,0,0,0,0,0.0,15958.0,False,False,stable_or_none,0.0
OH8703712,0,0,0,0,0,0,0.0,14417.0,False,False,stable_or_none,0.0
OH8703812,0,1,2,0,0,2,25.0,1086.0,True,False,stable_or_none,19.25
OH8703903,0,0,0,0,0,0,0.0,7660.0,False,False,stable_or_none,0.0
OH8704003,0,0,0,0,0,0,0.0,7295.0,False,False,stable_or_none,0.0
OH8704103,0,0,0,0,0,0,0.0,3961.0,False,False,stable_or_none,0.0
OH8704203,0,0,0,0,0,0,0.0,3916.0,False,False,stable_or_none,0.0
